200
1 2
9.5191982099 26.6663909161 17.8364593037
4.2556561920  5.9320000986  6.5512891386
7.9306142370 15.1921960590 13.5725132912
2.7734376161 10.0738606497  2.6489407567
1.9485673848 16.1277153600  2.6032744813
0.6378020507 24.1452207329 -1.3294481447
4.1600026193  6.4003506591  5.7714259603
4.4505567035  6.3219555272  7.1280232626
1.2844421573 19.8319660019 -0.1162494996
4.0501541571  6.5197231348  6.1928996875
3.3319450667  7.8041238963  4.3951443678
3.5586191135  7.8058175228  4.6645711609
8.1570365918 15.5983445905 14.8295083308
2.1725636277 13.1177187857  3.2226001466
6.9591305714  9.9884576627 12.0543661508
3.7850890610  7.9264643390  6.0355812125
9.0053216263 22.7237013064 16.0965819490
8.9382787695 22.2817913367 16.4842185802
2.6383433196 10.7007435554  3.9645339724
7.0219843409 10.1989899621 12.4594806482
8.8874682663 21.0624245858 15.6212100702
5.7328119579  6.3853931353  8.9233576807
0.8318519829 23.4058875571 -0.2615770778
5.7878487899  6.2971415424  9.4969876733
0.5475936031 25.5521452281 -1.2161289252
1.8650020073 16.8109856033  0.8480124817
6.4379977916  7.7773973757 11.7598333953
9.0557519112 22.8452610559 16.7390428376
1.4212936707 19.3412481115 -0.0668583632
3.9833122755  6.6045902709  5.6580614631
7.0773761814 10.5359060302 12.6431381582
1.2061840755 19.9238012437  0.1230564121
6.5487130481  7.5436242307 11.4415325560
8.0964443732 14.6788294250 14.8845099521
2.9726137476 11.0903842140  4.8057075754
7.8860394913 14.6759902880 13.9409208508
3.3612283647  7.9178545592  5.2468475981
8.0796101316 15.9927162487 14.4725545431
5.5518061849  6.9553084252  8.3723499509
5.9429664163  6.7408263327  9.5510882259
6.3435068484  8.2336371587 10.8863125806
6.8875004255  9.0780967963 11.1992466056
5.1455499045  6.6247340042  8.1198627224
9.8935842196 29.7865126481 16.9404884945
8.8608917156 21.3955770272 15.4382884156
4.6403705606  5.3355420244  8.2247626899
5.0107613470  5.5399347057  7.2449340570
5.4180289090  6.6504919560  8.1384505034
3.9693332826  6.9918507731  6.6584067326
0.3513697824 28.5306080961 -0.6699322172
9.3287747525 23.7386372845 17.3521029885
0.2414074092 28.9435365318 -2.1546168428
2.4820024353 12.4138237274  3.8289440761
7.1515341101 10.6094099564 11.8291691774
9.0678418009 22.8322121103 16.7398147354
3.5600465408  7.3389419675  5.8153025820
0.7552774828 23.2901490811 -1.2957967831
4.2583207354  7.2303655620  6.3770678594
2.3185832452 13.7942025385  2.4893029604
9.5144750889 26.9696152287 17.2009632415
5.5544287597  6.3532891142  9.1433420160
5.9450322061  6.7552260442 10.8687651044
0.9227523276 22.6458421515 -0.2720653619
2.1157294615 13.6710497671  1.5998699583
0.5236268114 25.6330202906 -1.3759814302
8.1626715066 15.9683593778 15.3067930738
1.3411723704 18.4950988049  1.5415331847
7.6700426478 13.0297283024 13.6102502327
4.2860138509  6.6787554980  5.7883624911
5.6219825541  7.1945910666  9.3882827264
5.5682584021  6.2231116279  9.4987408695
0.7130551806 23.6854237217 -0.1738986743
0.8044552816 23.6221076001 -0.0380173792
7.2641755463 11.5564761322 13.2611402991
7.0264235184 10.1711988538 12.3010867057
4.8356199177  5.8959127334  7.0102013296
8.3842919143 17.2141060703 14.0019396262
9.1879452107 24.2890276817 17.3638722771
8.2543378602 16.5785170196 13.5151026748
7.4180341154 11.6184672668 13.6251812060
8.8361669558 20.0160954084 15.4329880901
9.5750521442 27.7056572025 16.3259476114
0.8798893532 23.4078112028 -0.5185150088
8.9142575602 21.2556628733 16.0013216360
8.1555160569 15.6849562238 14.0621747044
1.6192577405 16.6237421544  2.1281897150
1.7053381130 17.7625772815  2.0823310158
1.8663746942 16.3150133517  2.3291224565
3.1910069363 10.0671465154  4.0862176243
1.9507746833 14.5220544693  1.5550981633
3.2042268724  9.7711471578  3.9645099204
7.3658251173 10.9255087199 11.7588972539
9.5345723677 26.8245954548 16.4958657206
9.2996757804 24.0237148607 15.9982863991
8.5066935317 18.2210857432 14.7976544831
0.4433812563 25.9486300913 -2.0590559259
0.6604581759 24.6358967846  0.2690391667
3.3049711021  9.5318443313  4.8092925044
5.1147540458  5.5327824825  8.2503567672
4.0088615094  7.1011564509  5.8149844958
9.0011560577 22.9206576540 16.5952558818
7.8341069650 13.4380962963 13.9391329114
8.8389233940 21.4476221093 15.0834964068
2.0117696257 14.9533268422  1.3814337709
6.6230247126  7.9676239577 12.0746669633
3.1206505220 10.2928474610  5.0489006884
4.5442024537  6.8470927490  6.7230632585
8.0409340107 14.6130131115 13.1606513356
